;Auction;Auction_Close;Auction_No;By;Color;Condition;Date;Date_High;Date_Low;Estimate;Estimate_High;Estimate_Low;Image;Lot;Publication;Size;Size_Cm;Size_Cm_H;Size_Cm_W;Size_Inches;Sold_For;Subject;Text;Title
10;163 -  6/14/2017;6/14/2017;163; Abraham Ortelius; hand color; B+  ; 1587      ;;1587;$4,750.00 - $6,000.00;6000.00;4750.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-011A.jpg;11; Theatrum Orbis Terrarum; 19.1 x 13.9 inches 48.6 x 35.3 cm ;48.6x35.3;35.3;48.6;19.1x13.9; 3125.00; Western Hemisphere - America;"

This is one of the most famous maps of America and one that had enormous influence on the future cartography of the New World.  Frans Hogenberg engraved this map and it is primarily based on Gerard Mercator's great multi-sheet world map of 1569.  The map features an exaggerated breadth of the North American continent, with a lengthy St. Lawrence River reaching across the continent to nearly meet the fictitious, westward flowing  
Tiguas Rio
.  The strategically placed title cartouche hides the unknown South Pacific and therefore most of the conjectural great southern continent, which is shown attached to both New Guinea and Tierra del Fuego.


This is the third of the plates that Ortelius used of the Americas, evidenced by the removal of the bulge on the southwestern coast of South America and an added cartouche in North America.  Also on this plate, the Solomon Islands are noted for the first time since their discovery in 1568, and the names 
California, R. de los estrechos
, and 
C. Mendocino
 have been added to the west coast of North America.  The native name of 
Wingandekoa
 has been added to the eastern coast, originating from an unsuccessful attempt to colonize the Outer Banks by the English.  Latin text on verso, published in 1592.

Full original color on paper with Ortelius' common crossed arrows watermark.  There is minor color offsetting at bottom center and a hint of toning along the centerfold.  A centerfold separation that enters less than 1"" into image at bottom has been archivally repaired on verso, and an old paper repair confined to bottom blank margin on recto is toned.  Margins are trimmed but ample for framing.


Ref:
 Burden #64; Van den Broecke #11.






";"Lot #11: ""Americae sive Novi Orbis, Nova Descriptio"" Abraham Ortelius
"
11;163 -  6/14/2017;6/14/2017;163; Giovanni Botero; hand color; A   ; 1598      ;;1598;$900.00 - $1,100.00;1100.00;900.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-012A.jpg;12; Geografia...; 9.7 x 6.8 inches 24.7 x 17.3 cm ;24.7x17.3;17.3;24.7;9.7x6.8; 525.00; Western Hemisphere - America;"

This early map of the Americas is based on Ortelius and D'Anian.  The Sierra Nevadas are named and 
Quivira
 appears both as a region and a large city in North America.  The towns of
 Marta, Zalisco
 and 
Culuacan
 are noted near present-day New Mexico.   Another large city labeled 
Totonteac
 is shown at the top of the 
M. Vermeio
 (Gulf of California).  A wide St. Lawrence River has its headwaters in a tiny lake in the region named 
Saguenai
, and there are no Great Lakes.  The names 
Norinbega
 for New England, Virginia, 
Mocosa
 and 
Apalche
 are on the eastern seaboard.  Off the coast, the imaginary islands of 
Frislant, Dos Demonios, Sept Cites
 and 
St. Brendain
 are shown.   South America is shown with a bulging western coast from Ortelius, while an outsized La Plata River plunges into the continent.   A massive 
Tierra del Fuego
 fills the bottom of the map and is connected to an even more massive 
Nova Guinea
, which carries a notation referring to Andrea Corsali, a 15th century Florentine explorer who described and named the Southern Cross.  State two with a line encircling the continents, engraved by Girolamo Porro, with his name added in the lower left corner.  This map appeared in the 1598 edition of Girolamo Ruscelli's 
Geografia...


A dark, crisp impression with light show-through of text on verso.


Ref:
 Burden #86.






";"Lot #12: ""America"" Giovanni Botero
"
12;163 -  6/14/2017;6/14/2017;163; Mercator/Hondius; hand color; B+  ; 1606      ;;1606;$3,500.00 - $4,500.00;4500.00;3500.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-013A.jpg;13; Gerardi Mercatoris - Atlas sive Cosmographicae; 18.1 x 14.5 inches 46.0 x 36.9 cm ;46.0x36.9;36.9;46.0;18.1x14.5; 2350.00; Western Hemisphere - America;"

This is one of the most famous maps of the Americas and an important foundation map for an American map collection.  After the death of his grandfather, Michael Mercator produced this stunning hemispherical map, the only known printed map attributed to him.  The map is surrounded by a beautifully engraved floral design and four roundels, one of which contains the title.  The other insets include the Gulf of Mexico, Cuba, and Haiti.  The geography was patterned after Rumold Mercator's world map of 1587, with a little added detail.  There is a large inland lake in Canada, and the St Lawrence River extends nearly halfway across the continent with no Great Lakes.  There is a still a bulge in the west coast of South America.  The large southern continent extends above the Tropic of Capricorn in the Pacific where there is a very large island of New Guinea.  Above North America are two of the four islands of the North Pole, with the great mythical rivers flowing from the pole.  The seas are full of mythical islands, including 
St. Brendain, Frislant
 and 
Sept citez
.  Latin text on verso.

A nice, early impression on watermarked paper with professional repairs to short centerfold separations at top and bottom and to a 5"" tear in the southern continent below South America.  There are a couple of additional short tears in the blank margins that have been archivally repaired, including one that enters the map border at bottom.


Ref:
 Burden #87; Van der Krogt (Vol. I) #9000:1A.






";"Lot #13: ""America sive India Nova, ad Magnae Gerardi Mercatoris aui Universalis Imitationem in Compendium Redacta"" Mercator/Hondius
"
13;163 -  6/14/2017;6/14/2017;163; Hondius/Jansson; hand color; B   ; 1638      ;;1638;$4,000.00 - $5,000.00;5000.00;4000.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-014A.jpg;14; Atlas Novus; 21.9 x 16.3 inches 55.7 x 41.4 cm ;55.7x41.4;41.4;55.7;21.9x16.3; 3000.00; Western Hemisphere - America;"

This rare, magnificent map of the Americas is derived from Jodocus Hondius' map of 1618.  Joannes Jansson was married to Elisabeth Hondius, sister of Jodocus, and was a prominent publisher in Amsterdam.  In 1623 he produced a set of continental maps derived from those of his brother-in-law, which in turn were largely derived from those of Blaeu.  North America retains the peninsular California and there is not a lot of detail along the eastern coast in the mid-Atlantic region.  In the Southwest the famous seven cities of Cibola appear on the banks of a large spurious lake.  In South America, there is a large inland sea in Guiana and two engraved scenes, one detailing a cannibalistic feast and the other showing a mythical giant of Patagonia.  Two stylized insets of the polar regions are enclosed in strapwork cartouches; the North Pole depicts Frobisher's theory of the Northwest Passage and the South Pole shows the long-held notion of the mythical southern continent.  


The map is flanked on three sides with carte-a-figures borders describing the native Americans and the major cities.  This map can easily be distinguished from Hondius' map because the figures at the sides were reversed when they were copied by the engraver, the cartouche bears two skulls, and most extant examples were printed from the plate after the top right corner was damaged.  The map was first issued with a panel of cities across the bottom, but that was removed for inclusion in the slightly smaller format atlases after circa 1632.  This is the third state with German text on verso, published in 1638.

A nice impression with full original color.  This example has been professionally conserved and backed in thin, archival tissue to repair a complete separation along the centerfold, a 5"" tear at right, a 2"" tear adjacent to the centerfold at bottom, and several other tears and cracks primarily confined to the carte-a-figures borders.  There are a number of cracks and small areas of loss in the vignette at top left, with a small portion of the image replaced in facsimile.


Ref:
 Burden #207; Van der Krogt (Vol. I) #9000:1C.2.






";"Lot #14: ""America Noviter Delineata"" Hondius/Jansson
"
14;163 -  6/14/2017;6/14/2017;163; Bertius/Tavernier; hand color; A   ; 1661      ;;1661;$1,500.00 - $1,800.00;1800.00;1500.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-015A.jpg;15; ; 14.4 x 10.8 inches 36.6 x 27.5 cm ;36.6x27.5;27.5;36.6;14.4x10.8;-10000; Western Hemisphere - America;"

This rare derivative of Hondius' influential map of 1618 is a reduced version of a map of the same title by Petrus Bertius & Melchior Tavernier (1627).  The map improves on Hondius by completing the coastline of Tierra del Fuego.  California is still shown as a peninsula, although the Baja Peninsula is now isolated by two oddly crossed rivers, opening the possibility that it may be an island.  The western coast of America is elongated and filled with place names, and there is a large inland sea in New Mexico.  The Great Lakes are only suggested, and the region of New England is named 
Norumbega
.  South America has tiny engraved natives and trees, and two large mythical lakes, 
Eupana
 and
 Parime
 are shown in the interior.  There are insets of both the North and South Poles.  The South Pole is a large continent, with two places noted: 
Beach Province
, in reference to a place noted by Marco Polo, and 
 Pays des Paroquets
 (Country of the Parakeets).  The North Pole has the typical cartography of the time, with a bit of information from James and Hudson's expeditions shown.  This is the second state of the map.

A nice impression on watermarked paper with two tiny archivally repaired worm tracks along the centerfold only visible when held to light.


Ref:
 Burden #256.






";"Lot #15: ""Carte de l'Amerique Corrigee et Augmentee; Dessus Toutes les Aultres cy Devant Faictes par P. Bertius"" Bertius/Tavernier
"
15;163 -  6/14/2017;6/14/2017;163; Anae Seile; uncolored; B+  ; 1663      ;;1663;$1,000.00 - $1,500.00;1500.00;1000.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-016A.jpg;16; Cosmography in Four Books Containing the Chorography and History of the Whole Wo; 16.4 x 13.3 inches 41.7 x 33.8 cm ;41.7x33.8;33.8;41.7;16.4x13.3;-10000; Western Hemisphere - America;"

This map of the Americas is based on Henry Seile's map of 1652.  For unknown reasons, after Henry's death his plates passed to Philip Chetwind.  His widow, Anae, engaged Robert Vaughan to engrave a new plate for her own publication of Heylin's 
Cosmography
.  Therefore, this is one of the few maps published exclusively by a woman, with her own imprint.  The map is very similar to the earlier map, although the nomenclature of the Delaware River, Carolina and several places on the west coast have been changed.  It depicts 
California as an Island
 and no Great Lakes.  It is decorated with a title cartouche, sea monsters, and sailing ships.

A sharp impression on paper with a fleur-de-lis coat of arms watermark and faint damp stains at top.  Trimmed to neatline at top, apparently by the bookbinder.


Ref:
 Burden #379; McLaughlin #35; Tooley (America) p.115, #12.






";"Lot #16: ""Americae Nova Descriptio "" Anae Seile
"
16;163 -  6/14/2017;6/14/2017;163; A. Kircher; uncolored; B   ; 1665      ;;1665;$475.00 - $600.00;600.00;475.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-017A.jpg;17; Mundus Subterraneus; 16.4 x 13.6 inches 41.7 x 34.6 cm ;41.7x34.6;34.6;41.7;16.4x13.6; 350.00; Western Hemisphere - America;"

Very unusual map depicting all of South America and most of North America.  The map is totally devoid of political detail with the exception of the floating city of Mexico, shown a bit too far north, and California is named.   Instead the map features the principal rivers, lakes, mountains and volcanoes in South America.  A huge crater lake, probably Lake Titicaca although it is situated too far north, is depicted as the source of the Amazon.  The Andes are shown as a range of live volcanoes.  Three sailing ships and a strapwork title cartouche adorn the map.  Kircher is credited with publishing the first book describing the ocean's currents and this map is a beautiful example of his representations that are surprisingly accurate.

Issued folding and now flattened with light damp stains.  There are archival repairs on verso to a few fold separations at top and bottom and to an edge tear at left that extends 1.5"" into the image.  A small chip along the top border has been replaced with old paper and a portion of the neatline in facsimile.  


Ref:
 Burden #382.






";"Lot #17: ""Mappa Fluxus et Reflxus Rationes in Isthmo Americano, in Freto Magellanico, Caeterisque Americae Litoribus Exhibens"" A. Kircher
"
17;163 -  6/14/2017;6/14/2017;163; Allain Manesson Mallet; hand color; A   ; 1683      ;;1683;$160.00 - $190.00;190.00;160.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-018A.jpg;18; Description de l'Univers; 4.1 x 5.8 inches 10.5 x 14.8 cm ;10.5x14.8;14.8;10.5;4.1x5.8; 120.00; Western Hemisphere - America;"

This is the second of three similar miniature maps of the Americas drawn in a hemispheric projection in 
Description de l'Univers
.  
California is depicted as an island
 on the Briggs model, with a flat northern coast.  The Solomon Islands dominate the Pacific, and part of the New Zealand coast is shown but not named.  Two minutely engraved galleons decorate the map.  Page number 235 in upper right corner and French text on verso.

A crisp impression with minor show-through of text on verso and a small paper flaw in top blank margin.


Ref:
 Burden #559; McLaughlin #85-1; Pastoureau, MANESSON-MALLET IA, Tome I #86.






";"Lot #18: ""Nouveau Continent avec Plusieurs Isles et Mers"" Allain Manesson Mallet
"
18;163 -  6/14/2017;6/14/2017;163; Carel Allard; hand color; B+  ; 1697      ;;1697;$1,800.00 - $2,100.00;2100.00;1800.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-019A.jpg;19; ; 23.2 x 19.6 inches 59.0 x 49.8 cm ;59.0x49.8;49.8;59.0;23.2x19.6; 1300.00; Western Hemisphere - America;"

Sumptuous map of the Americas features a dramatically decorative title cartouche showing an Amazonian queen surrounded by riches, a sugar cane field and exotic animals.  Inset in the cartouche is a small map of the coast of New Zealand.  The cartography of North America includes all five Great Lakes and the
 island of California
 on the Foxe model with two indented bays on the northern coastline, and a string of spurious islands off the tip of California.  Above California is a huge landmass labeled 
Terra Esonis
 that stretches nearly to Japan and Yedso.  The Mississippi River is beginning to take shape with the 
R. Massourite
 (Missouri) making its appearance.  Sanson's 
R. del Norte
 has been revised here so that there are two branches, one flowing correctly into the Gulf of Mexico and the other emptying into the sea between the mainland and the island of California (Mare Vermio cum Mare Rubrum).  Interestingly the 
Apaches
 de Novajo
 region has moved considerably north where an unnamed river flows westward to the head of the Mare Vermio
.  In South America the mythical Lake Parime is no longer shown and the major river systems are beginning to take their proper shape.  The Portuguese 
capitanias
 are delineated along the coast of Brazil.  There are several islands shown in the Pacific including a coastline in the vicinity of Australia labeled 
Quiri Regio
.  This is the second state of the map according to Burden.

A sharp, dark impression on paper with an ""HD"" watermark.  There are professional repairs to centerfold separations at top and bottom, some short edge tears, and a 4"" tear that extends into the southern tip of South America.


Ref:
 Burden #724; McLaughlin #132; Tooley (Amer) p.127 #65.






";"Lot #19: ""Recentissima Novi Orbis, sive Americae Septentrionalis et Meridionalis Tabula"" Carel Allard
"
19;163 -  6/14/2017;6/14/2017;163; John Senex; hand color; B   ; 1719      ;;1719;$1,200.00 - $1,500.00;1500.00;1200.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-020A.jpg;20; A New General Atlas...; 22.1 x 19.2 inches 56.2 x 48.8 cm ;56.2x48.8;48.8;56.2;22.1x19.2;-10000; Western Hemisphere - America;"

This is a very curious and fascinating map of the Americas.  There are several interesting features that don't appear on other maps of the period.  Senex's depiction of the northwestern part of North America is most unusual with the coastline continuing far to the north of the 
island of California
.  Two lakes (L. Aquinanbock and L. of Isles) appear along the coastline with the place names (
Desolation
 and 
Zapezipin
) and several offshore islands.  The western interior is filled with a huge lake labeled 
The Great Lake of Thoago or Thoya
, from which two rivers flow to the Pacific.  Another remarkable feature of the map is a wide unnamed river flowing from Carolina into the Gulf of Mexico.  South America takes on an unusual shape with the mythical 
Parime L
 and enlarged Rio de Plata.  The splendid title cartouche is decorated with natives, parrots, turtles, serpents and scenes of battle and cannibalism.  The map is dedicated to the Earl of Berkshire, Deputy Earl Marshal of England and engraved by John Harris.  Mead Cain attributes the source of the map to Robert Morden, whose map also includes the odd Northwest coastline and fallacious river flowing from Carolina.

Original outline color with light toning and scattered foxing.


Ref:
 Cain (TMC-57) p. 4; McLaughlin #193; Tooley (Amer) #81, p. 130; Wagner #520.






";"Lot #20: ""A New Map of America from the Latest Observations"" John Senex
"
20;163 -  6/14/2017;6/14/2017;163; Franz Johann Joseph von Reilly; hand color; A   ; 1795      ;;1795;$450.00 - $550.00;550.00;450.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-021A.jpg;21; ; 30.1 x 23.1 inches 76.5 x 58.7 cm ;76.5x58.7;58.7;76.5;30.1x23.1;-10000; Western Hemisphere - America;"

A scarce Austrian map of the Western Hemisphere based on D'Anville and the surveys of Gov. Pownall.  The large map depicts the United States extending to the Mississippi River, and the region to its west is under Spanish rule with Louisiana, New Mexico and New Navarro named.  The majority of the northwest part of the continent is blank with 
Quivira
 shown in present-day Idaho.  In South America, the fictitious lakes 
Parima
 and 
Xarayes
 appear.
Three insets augment the main map including Cook's discoveries in Alaska, a detailed view of Hudson Bay and Baffin Bay, and a map of the United States showing 13 states along with the frontier stretching to the Mississippi.  The map is decorated by two title cartouches surrounded by wreathes.  Von Reilly was a Viennese art dealer and map publisher who assembled three atlases between 1789-99.

A strong impression on watermarked paper with wide original margins.  There is minor foxing along the top border, otherwise fine.






";"Lot #21: ""Karte von Amerika. Nach d'Anville und Pownall Neu Verzeichnet Herausgegeben"" Franz Johann Joseph von Reilly
"
